district,tunnel_farming,sprinkler,drip,central_pivot,adoption_notes,tunnel_farming_area,tunnel_farming_percent_of_farms,tunnel_area_owner,tunnel_area_owner_cum_tenant,tunnel_area_tenant,tunnel_area_owner_percent,tunnel_area_owner_cum_tenant_percent,tunnel_area_tenant_percent,sprinkler_drip_pivot_area,source_year,source_table,notes
Bahawalnagar District,336,,,,"Tunnel farming: farms reporting and area protected by tenure from Table 6.19. Sprinkler, drip and central pivot adoption is not published as separate district-level counts; Table 4.2 reports one combined irrigated-area column (sprinkler/drip/central pivot), carried in sprinkler_drip_pivot_area. tunnel_area_owner_cum_tenant_percent appears misprinted in the source (duplicates the owner percent); values preserved as reported.",688,0,134,295,259,20,20,38,75,2024,"Tables 6.19, 4.2","Report footnote: ""0"" = value less than 0.5; ""-"" = no value"
Bahawalpur District,210,,,,"Tunnel farming: farms reporting and area protected by tenure from Table 6.19. Sprinkler, drip and central pivot adoption is not published as separate district-level counts; Table 4.2 reports one combined irrigated-area column (sprinkler/drip/central pivot), carried in sprinkler_drip_pivot_area. tunnel_area_owner_cum_tenant_percent appears misprinted in the source (duplicates the owner percent); values preserved as reported.",1099,0,627,472,,57,57,,111,2024,"Tables 6.19, 4.2","Report footnote: ""0"" = value less than 0.5; ""-"" = no value"
Rahim Yar Khan District,93,,,,"Tunnel farming: farms reporting and area protected by tenure from Table 6.19. Sprinkler, drip and central pivot adoption is not published as separate district-level counts; Table 4.2 reports one combined irrigated-area column (sprinkler/drip/central pivot), carried in sprinkler_drip_pivot_area. tunnel_area_owner_cum_tenant_percent appears misprinted in the source (duplicates the owner percent); values preserved as reported.",1080,,1060,20,,98,98,,276,2024,"Tables 6.19, 4.2","Report footnote: ""0"" = value less than 0.5; ""-"" = no value"
Dera Ghazi Khan District,283,,,,"Tunnel farming: farms reporting and area protected by tenure from Table 6.19. Sprinkler, drip and central pivot adoption is not published as separate district-level counts; Table 4.2 reports one combined irrigated-area column (sprinkler/drip/central pivot), carried in sprinkler_drip_pivot_area. tunnel_area_owner_cum_tenant_percent appears misprinted in the source (duplicates the owner percent); values preserved as reported.",1750,0,1653,,97,94,94,6,,2024,"Tables 6.19, 4.2","Report footnote: ""0"" = value less than 0.5; ""-"" = no value"
Layyah District,17,,,,"Tunnel farming: farms reporting and area protected by tenure from Table 6.19. Sprinkler, drip and central pivot adoption is not published as separate district-level counts; Table 4.2 reports one combined irrigated-area column (sprinkler/drip/central pivot), carried in sprinkler_drip_pivot_area. tunnel_area_owner_cum_tenant_percent appears misprinted in the source (duplicates the owner percent); values preserved as reported.",43,,40,,2,95,95,5,800,2024,"Tables 6.19, 4.2","Report footnote: ""0"" = value less than 0.5; ""-"" = no value"
Muzaffargarh District,322,,,,"Tunnel farming: farms reporting and area protected by tenure from Table 6.19. Sprinkler, drip and central pivot adoption is not published as separate district-level counts; Table 4.2 reports one combined irrigated-area column (sprinkler/drip/central pivot), carried in sprinkler_drip_pivot_area. tunnel_area_owner_cum_tenant_percent appears misprinted in the source (duplicates the owner percent); values preserved as reported.",952,0,177,641,135,19,19,14,337,2024,"Tables 6.19, 4.2","Report footnote: ""0"" = value less than 0.5; ""-"" = no value"
Rajanpur District,3463,,,,"Tunnel farming: farms reporting and area protected by tenure from Table 6.19. Sprinkler, drip and central pivot adoption is not published as separate district-level counts; Table 4.2 reports one combined irrigated-area column (sprinkler/drip/central pivot), carried in sprinkler_drip_pivot_area. tunnel_area_owner_cum_tenant_percent appears misprinted in the source (duplicates the owner percent); values preserved as reported.",20324,3,19882,442,,98,98,,,2024,"Tables 6.19, 4.2","Report footnote: ""0"" = value less than 0.5; ""-"" = no value"
Chiniot District,64,,,,"Tunnel farming: farms reporting and area protected by tenure from Table 6.19. Sprinkler, drip and central pivot adoption is not published as separate district-level counts; Table 4.2 reports one combined irrigated-area column (sprinkler/drip/central pivot), carried in sprinkler_drip_pivot_area. tunnel_area_owner_cum_tenant_percent appears misprinted in the source (duplicates the owner percent); values preserved as reported.",140,0,121,,19,87,87,13,,2024,"Tables 6.19, 4.2","Chiniot District is not present in district_master_clean.csv (remote-sensing master covers 34 districts); Report footnote: ""0"" = value less than 0.5; ""-"" = no value"
Faisalabad District,1145,,,,"Tunnel farming: farms reporting and area protected by tenure from Table 6.19. Sprinkler, drip and central pivot adoption is not published as separate district-level counts; Table 4.2 reports one combined irrigated-area column (sprinkler/drip/central pivot), carried in sprinkler_drip_pivot_area. tunnel_area_owner_cum_tenant_percent appears misprinted in the source (duplicates the owner percent); values preserved as reported.",6484,1,4680,1510,294,72,72,5,290,2024,"Tables 6.19, 4.2","Report footnote: ""0"" = value less than 0.5; ""-"" = no value"
Jhang District,1288,,,,"Tunnel farming: farms reporting and area protected by tenure from Table 6.19. Sprinkler, drip and central pivot adoption is not published as separate district-level counts; Table 4.2 reports one combined irrigated-area column (sprinkler/drip/central pivot), carried in sprinkler_drip_pivot_area. tunnel_area_owner_cum_tenant_percent appears misprinted in the source (duplicates the owner percent); values preserved as reported.",5852,1,1686,2341,1825,29,29,31,201,2024,"Tables 6.19, 4.2","Report footnote: ""0"" = value less than 0.5; ""-"" = no value"
Toba Tek Singh District,413,,,,"Tunnel farming: farms reporting and area protected by tenure from Table 6.19. Sprinkler, drip and central pivot adoption is not published as separate district-level counts; Table 4.2 reports one combined irrigated-area column (sprinkler/drip/central pivot), carried in sprinkler_drip_pivot_area. tunnel_area_owner_cum_tenant_percent appears misprinted in the source (duplicates the owner percent); values preserved as reported.",1589,0,507,490,592,32,32,37,44,2024,"Tables 6.19, 4.2","Report footnote: ""0"" = value less than 0.5; ""-"" = no value"
Gujranwala District,544,,,,"Tunnel farming: farms reporting and area protected by tenure from Table 6.19. Sprinkler, drip and central pivot adoption is not published as separate district-level counts; Table 4.2 reports one combined irrigated-area column (sprinkler/drip/central pivot), carried in sprinkler_drip_pivot_area. tunnel_area_owner_cum_tenant_percent appears misprinted in the source (duplicates the owner percent); values preserved as reported.",2202,1,2179,22,,99,99,,43,2024,"Tables 6.19, 4.2","Report footnote: ""0"" = value less than 0.5; ""-"" = no value"
