date,location,province,crop_type,pest_name_scientific,pest_name_common_english,pest_name_urdu,pest_type,severity_level,affected_area_hectares,yield_loss_percentage,temp_min,temp_max,humidity_avg,rainfall_mm,growth_stage,soil_type,previous_crop,irrigation_frequency,fertilizer_usage,control_measures_applied,effectiveness_rating,source_name,source_url,source_date,confidence_score
2026-02-15,Lahore,Punjab,Wheat,Puccinia striiformis,Yellow Rust (Stripe Rust),پیلی کنگی,fungal_pathogen,critical,12500,28.5,10.5,22.0,78.0,35.0,tillering_to_booting,loamy,Rice,3,"N:120, P:60, K:30",Tilt 250 EC (Propiconazole) @ 200ml/acre,4.8,Punjab Agriculture Department Pest Warning Wing,https://agriculture.punjab.gov.pk/pest-bulletins/wheat-rust-2026,2026-02-18,0.96
2025-03-05,Faisalabad,Punjab,Wheat,Sitobion avenae,Wheat Aphid,گندم کا سست تیلا,sucking,high,8400,18.0,14.0,27.5,65.0,5.0,milking_to_grain_filling,silt_loam,Cotton,4,"N:110, P:50, K:25",Confidor 200 SL (Imidacloprid) @ 150ml/acre,4.6,University of Agriculture Faisalabad (UAF) Entomology Dept,https://uaf.edu.pk/research/entomology/wheat-aphid-surveillance-2025,2025-03-10,0.94
2026-01-20,Rawalpindi,Punjab,Wheat,Puccinia triticina,Brown Rust (Leaf Rust),بھوری کنگی,fungal_pathogen,medium,4200,12.0,8.0,19.5,72.0,45.0,tillering,clay_loam,Maize,2,"N:90, P:45, K:0",Nativo 75 WG (Tebuconazole + Trifloxystrobin) @ 65g/acre,4.9,PARC National Agricultural Research Centre (NARC),https://parc.gov.pk/crop-diseases/wheat-rust-monitoring-2026,2026-01-25,0.95
2025-08-10,Multan,Punjab,Cotton,Pectinophora gossypiella,Pink Bollworm,گلابی سنڈی,boring,critical,24000,34.0,28.0,41.5,68.0,12.0,boll_formation,loamy,Wheat,6,"N:150, P:75, K:50",Proclaim 019 EC (Emamectin Benzoate) @ 200ml/acre + PBW Traps,4.5,Central Cotton Research Institute (CCRI) Multan,https://ccrimultan.gov.pk/advisories/pink-bollworm-management-2025,2025-08-15,0.95
2025-07-25,Bahawalpur,Punjab,Cotton,Bemisia tabaci,Cotton Whitefly,سفید مکھی,sucking,high,18500,22.5,29.0,43.0,55.0,0.0,squaring_and_flowering,sandy_loam,Wheat,5,"N:130, P:65, K:40",Polo 500 SC (Diafenthiuron) @ 200ml/acre,4.7,Punjab Pest Warning & Quality Control of Pesticides,https://agriculture.punjab.gov.pk/whitefly-cotton-bulletin-2025,2025-07-30,0.93
2025-09-12,Gujranwala,Punjab,Rice,Scirpophaga incertulas,Yellow Stem Borer,دھان کے تنے کی سنڈی,boring,high,15200,20.0,23.5,33.0,82.0,60.0,tillering_to_panicle_initiation,clayey,Wheat,12,"N:100, P:50, K:50, Zn:10",Virtako 0.6 GR (Chlorantraniliprole + Thiamethoxam) @ 4kg/acre,4.9,Rice Research Institute Kala Shah Kaku,https://rrikala.gov.pk/basmati-rice-stem-borer-control-2025,2025-09-18,0.97
2025-09-28,Sheikhupura,Punjab,Rice,Cnaphalocrocis medinalis,Rice Leaf Folder,دھان کی پتہ لپیٹ سنڈی,defoliator,medium,9800,14.5,21.0,31.5,79.0,18.0,heading_to_milking,silt_clay,Berseem,10,"N:90, P:45, K:40",Belt 480 SC (Flubendiamide) @ 25ml/acre,4.8,CABI Digital Library South Asia Repository,https://cabi.org/isc/datasheet/14352,2025-10-02,0.92
2025-06-15,Faisalabad,Punjab,Sugarcane,Scirpophaga excerptalis,Sugarcane Top Borer,کماد کا ٹاپ بورر,boring,high,11000,19.0,27.0,42.0,62.0,10.0,formative_to_grand_growth,loamy,Sugarcane (Ratoon),8,"N:200, P:80, K:80",Chlorpyrifos 40 EC @ 1.5L/acre direct whorl application,4.4,Sugarcane Research Institute Faisalabad,https://sri.punjab.gov.pk/top-borer-sugarcane-advisory-2025,2025-06-20,0.94
2025-09-05,Sahiwal,Punjab,Maize,Spodoptera frugiperda,Fall Armyworm,مکئی کا فال آرمی ورم,chewing_defoliator,critical,14500,30.0,24.0,36.0,74.0,22.0,whorl_stage_v6_v8,sandy_clay_loam,Wheat,5,"N:140, P:70, K:50",Coragen 20 SC (Chlorantraniliprole) @ 50ml/acre inside funnel,4.9,Maize & Millets Research Institute Yusafwala (MMRI),https://mmri.punjab.gov.pk/fall-armyworm-management-2025,2025-09-10,0.98
2025-11-10,Lahore,Punjab,Vegetables,Helicoverpa armigera,Tomato Fruit Borer,ٹماٹر کی پھل چھیدک سنڈی,boring,high,3200,25.0,12.0,25.0,70.0,0.0,fruiting,loamy,Okra,4,"N:80, P:60, K:60",Match 050 EC (Lufenuron) @ 100ml/acre (PHI: 7 days),4.7,Vegetable Research Institute Faisalabad,https://vri.punjab.gov.pk/tomato-fruit-borer-protocol-2025,2025-11-15,0.93
