file,column,description,unit,source_table,notes
pbs_farm_structure.csv,district,Census district (36 districts plus Cholistan Area),text,"Tables 1.0, 1.1","Source: PBS Agricultural Census 2024, Punjab Report (IAC-Punjab-Report-25-05-2026-1-1_copy.pdf). Sample-based census: mouza/block two-stage sample, results representative at district level (15% margin of error, 95% CI). Enumeration Sep-Nov 2024 (cold areas) and Jan-Feb 2025; source_year 2024 refers to the census reference period. Report footnote: ""0"" = value less than 0.5; ""-"" = no value."
pbs_farm_structure.csv,farm_count,Number of farms (agricultural holdings); NOT farmer/household counts,farms,"Tables 1.0, 1.1","Source: PBS Agricultural Census 2024, Punjab Report (IAC-Punjab-Report-25-05-2026-1-1_copy.pdf). Sample-based census: mouza/block two-stage sample, results representative at district level (15% margin of error, 95% CI). Enumeration Sep-Nov 2024 (cold areas) and Jan-Feb 2025; source_year 2024 refers to the census reference period. Report footnote: ""0"" = value less than 0.5; ""-"" = no value."
pbs_farm_structure.csv,total_farm_area,Total farm area,acres,Table 1.0,"Source: PBS Agricultural Census 2024, Punjab Report (IAC-Punjab-Report-25-05-2026-1-1_copy.pdf). Sample-based census: mouza/block two-stage sample, results representative at district level (15% margin of error, 95% CI). Enumeration Sep-Nov 2024 (cold areas) and Jan-Feb 2025; source_year 2024 refers to the census reference period. Report footnote: ""0"" = value less than 0.5; ""-"" = no value."
pbs_farm_structure.csv,cultivated_area,Cultivated area (net sown + current fallow),acres,Table 1.0,"Source: PBS Agricultural Census 2024, Punjab Report (IAC-Punjab-Report-25-05-2026-1-1_copy.pdf). Sample-based census: mouza/block two-stage sample, results representative at district level (15% margin of error, 95% CI). Enumeration Sep-Nov 2024 (cold areas) and Jan-Feb 2025; source_year 2024 refers to the census reference period. Report footnote: ""0"" = value less than 0.5; ""-"" = no value."
pbs_farm_structure.csv,average_farm_size,Average farm size as reported,acres/farm,Table 1.0,"Source: PBS Agricultural Census 2024, Punjab Report (IAC-Punjab-Report-25-05-2026-1-1_copy.pdf). Sample-based census: mouza/block two-stage sample, results representative at district level (15% margin of error, 95% CI). Enumeration Sep-Nov 2024 (cold areas) and Jan-Feb 2025; source_year 2024 refers to the census reference period. Report footnote: ""0"" = value less than 0.5; ""-"" = no value."
pbs_farm_structure.csv,uncultivated_area,Uncultivated area,acres,Table 1.0,"Source: PBS Agricultural Census 2024, Punjab Report (IAC-Punjab-Report-25-05-2026-1-1_copy.pdf). Sample-based census: mouza/block two-stage sample, results representative at district level (15% margin of error, 95% CI). Enumeration Sep-Nov 2024 (cold areas) and Jan-Feb 2025; source_year 2024 refers to the census reference period. Report footnote: ""0"" = value less than 0.5; ""-"" = no value."
pbs_farm_structure.csv,source_year,Census year,year,,"Source: PBS Agricultural Census 2024, Punjab Report (IAC-Punjab-Report-25-05-2026-1-1_copy.pdf). Sample-based census: mouza/block two-stage sample, results representative at district level (15% margin of error, 95% CI). Enumeration Sep-Nov 2024 (cold areas) and Jan-Feb 2025; source_year 2024 refers to the census reference period. Report footnote: ""0"" = value less than 0.5; ""-"" = no value."
pbs_farm_structure.csv,source_table,Source tables in the census report,text,,"Source: PBS Agricultural Census 2024, Punjab Report (IAC-Punjab-Report-25-05-2026-1-1_copy.pdf). Sample-based census: mouza/block two-stage sample, results representative at district level (15% margin of error, 95% CI). Enumeration Sep-Nov 2024 (cold areas) and Jan-Feb 2025; source_year 2024 refers to the census reference period. Report footnote: ""0"" = value less than 0.5; ""-"" = no value."
pbs_farm_structure.csv,notes,Row flags and footnotes,text,,"Source: PBS Agricultural Census 2024, Punjab Report (IAC-Punjab-Report-25-05-2026-1-1_copy.pdf). Sample-based census: mouza/block two-stage sample, results representative at district level (15% margin of error, 95% CI). Enumeration Sep-Nov 2024 (cold areas) and Jan-Feb 2025; source_year 2024 refers to the census reference period. Report footnote: ""0"" = value less than 0.5; ""-"" = no value."
pbs_land_tenure.csv,district,Census district,text,Table 1.3,"Source: PBS Agricultural Census 2024, Punjab Report (IAC-Punjab-Report-25-05-2026-1-1_copy.pdf). Sample-based census: mouza/block two-stage sample, results representative at district level (15% margin of error, 95% CI). Enumeration Sep-Nov 2024 (cold areas) and Jan-Feb 2025; source_year 2024 refers to the census reference period. Report footnote: ""0"" = value less than 0.5; ""-"" = no value."
pbs_land_tenure.csv,total_farms,Total farms,farms,Table 1.3,"Source: PBS Agricultural Census 2024, Punjab Report (IAC-Punjab-Report-25-05-2026-1-1_copy.pdf). Sample-based census: mouza/block two-stage sample, results representative at district level (15% margin of error, 95% CI). Enumeration Sep-Nov 2024 (cold areas) and Jan-Feb 2025; source_year 2024 refers to the census reference period. Report footnote: ""0"" = value less than 0.5; ""-"" = no value."
pbs_land_tenure.csv,owner_farms,Farms operated by owners,farms,Table 1.3,"Source: PBS Agricultural Census 2024, Punjab Report (IAC-Punjab-Report-25-05-2026-1-1_copy.pdf). Sample-based census: mouza/block two-stage sample, results representative at district level (15% margin of error, 95% CI). Enumeration Sep-Nov 2024 (cold areas) and Jan-Feb 2025; source_year 2024 refers to the census reference period. Report footnote: ""0"" = value less than 0.5; ""-"" = no value."
pbs_land_tenure.csv,owner_cum_tenant_farms,Farms operated by owner-cum-tenant,farms,Table 1.3,"Source: PBS Agricultural Census 2024, Punjab Report (IAC-Punjab-Report-25-05-2026-1-1_copy.pdf). Sample-based census: mouza/block two-stage sample, results representative at district level (15% margin of error, 95% CI). Enumeration Sep-Nov 2024 (cold areas) and Jan-Feb 2025; source_year 2024 refers to the census reference period. Report footnote: ""0"" = value less than 0.5; ""-"" = no value."
pbs_land_tenure.csv,tenant_farms,Farms operated by tenants,farms,Table 1.3,"Source: PBS Agricultural Census 2024, Punjab Report (IAC-Punjab-Report-25-05-2026-1-1_copy.pdf). Sample-based census: mouza/block two-stage sample, results representative at district level (15% margin of error, 95% CI). Enumeration Sep-Nov 2024 (cold areas) and Jan-Feb 2025; source_year 2024 refers to the census reference period. Report footnote: ""0"" = value less than 0.5; ""-"" = no value."
pbs_land_tenure.csv,owner_farms_percent,Owner farms as percent of total farms (schema field 'tenure_percentages' split into separate columns),percent,Table 1.3,"Source: PBS Agricultural Census 2024, Punjab Report (IAC-Punjab-Report-25-05-2026-1-1_copy.pdf). Sample-based census: mouza/block two-stage sample, results representative at district level (15% margin of error, 95% CI). Enumeration Sep-Nov 2024 (cold areas) and Jan-Feb 2025; source_year 2024 refers to the census reference period. Report footnote: ""0"" = value less than 0.5; ""-"" = no value."
pbs_land_tenure.csv,owner_cum_tenant_farms_percent,Owner-cum-tenant farms as percent of total farms,percent,Table 1.3,"Source: PBS Agricultural Census 2024, Punjab Report (IAC-Punjab-Report-25-05-2026-1-1_copy.pdf). Sample-based census: mouza/block two-stage sample, results representative at district level (15% margin of error, 95% CI). Enumeration Sep-Nov 2024 (cold areas) and Jan-Feb 2025; source_year 2024 refers to the census reference period. Report footnote: ""0"" = value less than 0.5; ""-"" = no value."
pbs_land_tenure.csv,tenant_farms_percent,Tenant farms as percent of total farms,percent,Table 1.3,"Source: PBS Agricultural Census 2024, Punjab Report (IAC-Punjab-Report-25-05-2026-1-1_copy.pdf). Sample-based census: mouza/block two-stage sample, results representative at district level (15% margin of error, 95% CI). Enumeration Sep-Nov 2024 (cold areas) and Jan-Feb 2025; source_year 2024 refers to the census reference period. Report footnote: ""0"" = value less than 0.5; ""-"" = no value."
pbs_land_tenure.csv,total_farm_area,Total farm area,acres,Table 1.3,"Source: PBS Agricultural Census 2024, Punjab Report (IAC-Punjab-Report-25-05-2026-1-1_copy.pdf). Sample-based census: mouza/block two-stage sample, results representative at district level (15% margin of error, 95% CI). Enumeration Sep-Nov 2024 (cold areas) and Jan-Feb 2025; source_year 2024 refers to the census reference period. Report footnote: ""0"" = value less than 0.5; ""-"" = no value."
